id_estacao,data_medicao,coleta,ponto,data_inicio,data_fim,ph,temperatura_do_ar,temperatura_da_agua,salinidade,oxigenio_dissolvido,turbidez,disco_de_secchi,profundidade_total,profundidade_de_coleta,coliformes_totais,escherichia_coli,nitrogenio_amoniacal,fosforo_total_mg_l,fosforo_total_mg_kg,fosfato_total,nitrato,silica,sulfeto,materia_organica
1,2024-04-24 11:06:00,Regular,LRF3 - Fundo,2024-04-24 11:03:00,2024-04-24 11:06:00,7.15,,25.4,10.4,4.69,<1.5,,,2.0,,,0.09,0.037,,<0.016,0.13,6.9,0.3,
1,2023-04-24 11:06:00,Regular,LRF3 - Fundo,2023-04-24 11:03:00,2023-04-24 11:06:00,7.15,,25.4,10.4,4.69,<1.5,,,2.0,,,0.09,0.037,,<0.016,0.13,6.9,0.3,
1,2024-10-16  12:27,Regular,LRF2 - Meio Afótico,2024-10-16  12:24,2024-10-16  12:27,7.4,,25.4,10.2,2.71,1.72,,,2.0,,,0.063,0.101,,0.021,<0.05 ,4.4,<0.1 ,
1,2023-10-16  12:27,Regular,LRF2 - Meio Afótico,2023-10-16  12:24,2023-10-16  12:27,7.4,,25.4,10.2,2.71,1.72,,,2.0,,,0.063,0.101,,0.021,<0.05 ,4.4,<0.1 ,
1,2022-11-07 14:35:00,Regular,LRF3 - Meio Afótico,2022-11-07 14:33:00,2022-11-07 14:35:00,8.45,,25.4,13,9.45,3.2,,,2.0,,,0.11,0.096,,<0.016 ,<0.05 ,5.6,<0.1 ,
1,2023-10-16 12:09:00,Regular,LRF1 - Fundo,2023-10-16  12:06,2023-10-16 12:09:00,7.28,,25.4,11.3,1.43,1.9,,,3.0,,,0.076,0.067,,0.021,0.053,4.5,<0.1 ,
1,2024-10-16 12:09:00,Regular,LRF1 - Fundo,2024-10-16  12:06,2024-10-16 12:09:00,7.28,,25.4,11.3,1.43,1.9,,,3.0,,,0.076,0.067,,0.021,0.053,4.5,<0.1 ,
1,2022-05-09 11:10:00,Regular,LRF6 - Fundo,2022-05-09 11:07:00,2022-05-09 11:10:00,8.22,,25.4,10.2,3.68,2.16,,,3.0,,,0.4,0.054,,<0.016,0.087,0.9,0.1,
1,2024-09-29 09:56:00,Regular,LRF3 - Meio Eufótico,2024-09-29 09:53:00,2024-09-29 09:56:00,8.53,,25.4,9.6,6.91,3.93,,,1.0,,,0.14,0.106,,0.048,0.06,4.4,<0.1 ,
1,2024-10-30 12:59:00,Regular,LRF2 - Meio Eufótico,2024-10-30  12:57,2024-10-30 12:59:00,8.34,,25.4,10.6,8.42,2.16,,,1.0,,,0.228,0.101,,0.045,0.57,3.7,<0.1 ,
